Experiment Number,G Band Area Result,Diameter Control Result,Patch,Pillar,C2H4 Flow Rate [sccm],Ar/CO2 Flow Rate [sccm],CO2 Flow Rate [sccm],Temperature [C],Water [ppm],Pressure [Torr],488 control,633 control,785 control,488 diff,633 diff,785 diff,Control Center,488 raw control,488 raw center,633 raw control,633 raw center,785 raw control,785 raw center,Control Width,Total Control,Mean Control,488 Agreement,633 Agreement,785 Agreement,Mean Agreement
73,4.031668302,0.217751734,42,23,65.5,372.5,37.25,687.6,0.932,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3.665594238,1,42,24,123,217,21.7,743.35,0.926,10,0.029472986,0,0.602885467,-0.941054029,-1,0.205770934,224.466567,0.419214551,213.7001953,0.224262358,307.8110352,0.267542234,245.8046875,33.72825358,0.632358452,0.210786151,0.029472986,0,0.602885467,0.210786151
75,3.622284631,0.735793588,42,25,122.5,208.5,20.85,740.35,0.925,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5.020136783,0.762530735,43,6,74,359.5,35.95,731.6,0.923,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4.32126112,0.813862909,43,14,122,223,22.3,739.35,0.92,10,0,0,0.001263142,-1,-1,-0.997473715,329.8369102,0.434844935,212.5390625,0.165287954,284.1298828,0.339807872,245.8022461,23.80101024,0.001263142,0.000421047,0,0,0.001552033,0.000517344
78,4.144279574,0.545151959,43,16,122.5,224.5,22.45,730.85,0.918,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4.472716973,0.864821628,43,17,120,217.5,21.75,731.35,0.917,10,0,0,0.629277885,-1,-1,0.25855577,235.2986699,0.366034791,267.0019531,0.427378648,303.6977539,0.361074122,245.1538086,36.09256586,0.629277885,0.209759295,0,0,0.727638931,0.24254631
80,6.746686162,0.739150174,43,19,121,220,22,760.85,0.91,10,0.39883767,0,0.715192898,-0.20232466,-1,0.430385797,228.0519002,0.397957168,214.8613281,0.029040103,305.7578125,0.235142355,246.453125,55.38783222,1.114030569,0.371343523,0.539589497,0,0.967588081,0.502392526
81,5.832016327,0.272589944,43,20,121,209.5,20.95,793.6,0.918,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.013409629,0.485813181,43,21,128.5,233,23.3,24.35,0.924,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3.665394913,0.765488349,43,22,113,194,19.4,718.85,0.928,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4.175179908,0.803913738,43,23,128,237,23.7,751.85,0.926,10,0.456378346,0.06865725,0.08462584,-0.087243309,-0.8626855,-0.830748321,277.2970617,0.628995924,264.6953125,0.928766999,335.5200195,0.640283354,241.2431641,43.10249089,0.609661436,0.203220479,0.567695667,0.085403753,0.105267314,0.252788911
85,5.571743335,0.685638321,43,24,81.5,336,33.6,712.85,0.924,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6.105765766,0.49071871,43,25,79,345,34.5,715.6,0.923,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6.281515305,0.585801864,44,1,69,314.5,31.45,758.35,0.921,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6.63102802,0.564645673,44,2,67.5,365,36.5,714.1,0.919,10,0.835639425,0.711934867,0.13012536,0.671278851,0.423869734,-0.73974928,271.3114181,0.835639425,264.6953125,0.632046327,285.159668,0.302446217,245.1538086,40.7359826,1.677699652,0.559233217,1.479935941,1.260852426,0.230454896,0.990414421
89,6.011053191,3.44E-14,44,3,110.5,205.5,20.55,743.1,0.918,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6.389092949,0.527528787,44,4,81.5,340,34,697.6,0.917,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6.007599596,0.428759703,44,5,122,231,23.1,758.1,0.915,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,5.3393297,0.236505272,44,6,134,211,21.1,738.6,0.914,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,5.687234433,0.490017853,44,7,80.5,344.5,34.45,682.85,0.913,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,6.548433969,0.52231242,44,8,78.5,338,33.8,680.35,0.911,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5.503884528,0.487444283,44,9,69,343,34.3,669.6,0.909,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3.417953586,0.329863709,44,10,63.5,313,31.3,632.35,0.908,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,7.009699729,0.602838564,44,21,64,325,32.5,687.35,0.906,10,0.255044242,0.070494029,0.693517647,-0.489911517,-0.859011942,0.387035293,228.0519002,0.432699891,269.3085938,0.659286763,287.2192383,0.299920306,245.1538086,55.38783222,1.019055917,0.339685306,0.423072207,0.116936827,1.150420176,0.563476403
98,4.136159121,0.474039412,44,22,64,309,30.9,641.6,0.904,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3.491582754,3.31E-15,44,23,86,327.5,32.75,626.6,0.903,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3.41858876,0.803789115,44,24,63.5,328,32.8,630.1,0.901,10,0,0,0.545040223,-1,-1,0.090080446,231.6953867,1,265.8486328,0.81157904,284.1298828,0.377076089,244.5029297,28.88599957,0.545040223,0.181680074,0,0,0.678088584,0.226029528
101,0.001006602,0.586548554,50,2,64,337,33.7,651.1,0.951,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,3.223779567,0.74885978,50,6,126.5,253,25.3,690.85,1.08,10,0.190359564,0.163915358,0.676934316,-0.619280872,-0.672169283,0.353868632,228.0519002,1,266.0244141,0.007745613,310.9570313,0.448436572,237.4584961,55.38783222,1.031209239,0.343736413,0.25419921,0.218886583,0.903953363,0.459013052
103,6.294161419,0.610972589,50,7,74.5,333,33.3,752.1,1.06,10,0.243836262,0.211471116,0.702180456,-0.512327476,-0.577057767,0.404360912,228.0519002,0.266810074,268.3349609,0.143280861,255.2436523,0.518946189,236.8061523,55.38783222,1.157487834,0.385829278,0.399095257,0.346122101,1.149283075,0.631500144
104,4.494966772,0.39061321,50,8,61,326,32.6,665.35,1.05,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,5.621988911,0.553505035,50,9,71.5,243,24.3,709.6,1.04,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,5.933236774,1,50,10,64.5,346,34.6,685.85,1.03,10,0,0.083191932,0.015308913,-1,-0.833616136,-0.969382174,276.1243728,0.905978331,267.1816406,0.164848914,283.1699219,0.549360536,237.4545898,11.97455258,0.098500845,0.032833615,0,0.083191932,0.015308913,0.032833615
107,5.014602466,0.47904414,50,16,62.5,326,32.6,653.6,1.02,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
